datetime,battery
2026-03-01T22:00:00,47
2026-03-02T02:51:00,88
2026-03-02T06:00:00,70
2026-03-02T13:30:00,32
2026-03-02T14:00:00,32
2026-03-02T19:51:00,12
2026-03-02T22:00:00,16
2026-03-03T02:57:00,62
2026-03-03T06:00:00,43
2026-03-03T13:36:00,18
2026-03-03T14:00:00,18
2026-03-03T19:57:00,5
2026-03-03T22:00:00,5
2026-03-04T03:33:00,50
2026-03-04T06:00:00,40
2026-03-04T13:51:00,17
2026-03-04T18:42:00,10
2026-03-04T21:57:00,36
2026-03-04T22:00:00,36
2026-03-05T03:45:00,76
2026-03-05T06:00:00,61
2026-03-05T13:54:00,28
2026-03-05T15:57:00,29
2026-03-05T21:36:00,6
2026-03-05T22:00:00,6
2026-03-06T05:57:00,67
2026-03-06T06:00:00,67
2026-03-06T13:33:00,39
2026-03-06T14:00:00,39
2026-03-06T21:51:00,24
2026-03-06T22:21:00,23
2026-03-07T05:51:00,71
2026-03-07T06:00:00,69
2026-03-07T13:42:00,37
2026-03-07T14:00:00,37
2026-03-07T19:30:00,20
2026-03-07T22:00:00,24
2026-03-08T03:57:00,65
2026-03-08T06:00:00,50
2026-03-08T13:51:00,8
2026-03-08T14:48:00,5
2026-03-08T21:54:00,26
2026-03-09T03:00:00,70
2026-03-09T05:54:00,53
2026-03-09T06:00:00,53
2026-03-09T13:33:00,23
2026-03-09T14:00:00,22
2026-03-09T19:57:00,5
2026-03-09T22:00:00,9
2026-03-10T04:39:00,70
2026-03-10T06:00:00,65
2026-03-10T13:57:00,37
2026-03-10T18:30:00,28
2026-03-10T21:57:00,48
2026-03-10T22:00:00,48
2026-03-11T02:48:00,93
2026-03-11T06:00:00,56
2026-03-11T13:36:00,21
2026-03-11T18:39:00,15
2026-03-11T21:57:00,28
2026-03-11T22:00:00,28
2026-03-12T05:03:00,86
2026-03-12T06:24:00,84
2026-03-12T13:57:00,33
2026-03-12T14:00:00,33
2026-03-12T21:45:00,14
2026-03-12T22:54:00,12
2026-03-13T05:15:00,37
2026-03-13T06:00:00,36
2026-03-13T12:06:00,18
2026-03-13T16:45:00,20
2026-03-13T21:27:00,5
2026-03-13T22:00:00,5
2026-03-14T05:57:00,50
2026-03-14T06:00:00,51
2026-03-14T13:36:00,68
2026-03-14T14:00:00,66
2026-03-14T21:51:00,19
2026-03-15T01:12:00,12
2026-03-15T05:54:00,42
2026-03-15T08:24:00,62
2026-03-15T13:57:00,31
2026-03-15T14:00:00,30
2026-03-15T19:06:00,12
2026-03-15T22:00:00,20
2026-03-16T02:48:00,74
2026-03-16T03:03:00,72
2026-03-16T08:03:00,47
2026-03-16T08:06:00,47
2026-03-16T12:36:00,27
