date,weekly_avg,last_night,status
2026-02-15,68,,BALANCED
2026-02-16,69,,BALANCED
2026-02-17,69,,BALANCED
2026-02-18,68,,BALANCED
2026-02-19,70,,BALANCED
2026-02-20,70,,BALANCED
2026-02-21,71,,BALANCED
2026-02-22,67,,BALANCED
2026-02-23,65,,BALANCED
2026-02-24,64,,BALANCED
2026-02-25,64,,BALANCED
2026-02-26,63,,BALANCED
2026-02-27,62,,BALANCED
2026-02-28,61,,BALANCED
2026-03-01,65,,BALANCED
2026-03-02,66,,BALANCED
2026-03-03,66,,BALANCED
2026-03-04,65,,BALANCED
2026-03-05,63,,BALANCED
2026-03-06,62,,BALANCED
2026-03-07,62,,BALANCED
2026-03-08,61,,BALANCED
2026-03-09,60,,BALANCED
2026-03-10,59,,BALANCED
2026-03-11,60,,BALANCED
2026-03-12,61,,BALANCED
2026-03-13,59,,BALANCED
2026-03-14,60,,BALANCED
2026-03-15,60,,BALANCED
2026-03-16,63,,BALANCED
