date,steps
2026-02-15,1719
2026-02-16,16411
2026-02-17,6473
2026-02-18,5528
2026-02-19,4700
2026-02-20,5947
2026-02-21,28661
2026-02-22,5367
2026-02-23,6518
2026-02-24,5153
2026-02-25,5787
2026-02-26,16941
2026-02-27,9407
2026-02-28,5515
2026-03-01,2584
2026-03-02,12497
2026-03-03,10405
2026-03-04,5554
2026-03-05,17974
2026-03-06,4140
2026-03-07,12199
2026-03-08,22327
2026-03-09,18985
2026-03-10,4649
2026-03-11,23748
2026-03-12,6272
2026-03-13,6362
2026-03-14,4948
2026-03-15,5928
2026-03-16,7261
